w11,w01,fitness
-16.0,-16.0,0.0005
-15.0,-16.0,0.0005
-15.5,-16.0,0.0005
-14.5,-16.0,0.0005
-14.0,-16.0,0.0005
-13.5,-16.0,0.0005
-13.0,-16.0,0.0005
-12.5,-16.0,0.0005
-11.5,-16.0,0.0005
-11.0,-16.0,0.0005
-10.5,-16.0,0.0005
-12.0,-16.0,0.0005
-9.5,-16.0,0.0005
-10.0,-16.0,0.0005
-9.0,-16.0,0.0005
-8.5,-16.0,0.0005
-8.0,-16.0,0.0005
-7.0,-16.0,0.0005
-7.5,-16.0,0.0005
-5.5,-16.0,0.0005
-6.0,-16.0,0.0005
-6.5,-16.0,0.0005
-4.5,-16.0,0.0005
-4.0,-16.0,0.0005
-3.5,-16.0,0.0005
-2.5,-16.0,0.0005
-5.0,-16.0,0.0005
-3.0,-16.0,0.0005
-2.0,-16.0,0.0005
-1.0,-16.0,0.0005
0.0,-16.0,0.0005
-0.5,-16.0,0.0005
0.5,-16.0,0.0005
-1.5,-16.0,0.0005
1.5,-16.0,0.0005
1.0,-16.0,0.0005
2.0,-16.0,0.0005
2.5,-16.0,0.0005
3.0,-16.0,0.0005
4.5,-16.0,0.0005
4.0,-16.0,0.0005
3.5,-16.0,0.0005
5.5,-16.0,0.0005
6.5,-16.0,0.0005
7.0,-16.0,0.0005
5.0,-16.0,0.0005
6.0,-16.0,0.0005
8.0,-16.0,0.0005
12.0,-16.0,0.0005
8.5,-16.0,0.0005
9.5,-16.0,0.0005
9.0,-16.0,0.0005
10.5,-16.0,0.0005
10.0,-16.0,0.0005
11.0,-16.0,0.0005
11.5,-16.0,0.0005
12.5,-16.0,0.0005
13.0,-16.0,0.0005
13.5,-16.0,0.0005
14.0,-16.0,0.0005
-15.5,-15.5,0.0005
-16.0,-15.5,0.0005
16.0,-16.0,0.0005
14.5,-16.0,0.0005
15.0,-16.0,0.0005
-15.0,-15.5,0.0005
-14.5,-15.5,0.0005
-13.0,-15.5,0.0005
-12.0,-15.5,0.0005
-13.5,-15.5,0.0005
-11.5,-15.5,0.0005
-12.5,-15.5,0.0005
-14.0,-15.5,0.0005
-11.0,-15.5,0.0005
-10.5,-15.5,0.0005
-10.0,-15.5,0.0005
-9.5,-15.5,0.0005
-9.0,-15.5,0.0005
-8.5,-15.5,0.0005
-7.5,-15.5,0.0005
-8.0,-15.5,0.0005
-6.0,-15.5,0.0005
-6.5,-15.5,0.0005
-7.0,-15.5,0.0005
-5.0,-15.5,0.0005
-5.5,-15.5,0.0005
-4.5,-15.5,0.0005
-4.0,-15.5,0.0005
-3.5,-15.5,0.0005
-2.5,-15.5,0.0005
-3.0,-15.5,0.0005
-2.0,-15.5,0.0005
-1.0,-15.5,0.0005
-1.5,-15.5,0.0005
-0.5,-15.5,0.0005
0.0,-15.5,0.0005
0.5,-15.5,0.0005
1.5,-15.5,0.0005
1.0,-15.5,0.0005
2.5,-15.5,0.0005
4.5,-15.5,0.0005
2.0,-15.5,0.0005
3.0,-15.5,0.0005
4.0,-15.5,0.0005
3.5,-15.5,0.0005
5.0,-15.5,0.0005
5.5,-15.5,0.0005
7.5,-15.5,0.0005
6.0,-15.5,0.0005
8.5,-15.5,0.0005
6.5,-15.5,0.0005
8.0,-15.5,0.0005
7.0,-15.5,0.0005
9.5,-15.5,0.0005
9.0,-15.5,0.0005
10.0,-15.5,0.0005
10.5,-15.5,0.0005
13.5,-15.5,0.0005
11.0,-15.5,0.0005
13.0,-15.5,0.0005
11.5,-15.5,0.0005
12.0,-15.5,0.0005
12.5,-15.5,0.0005
14.0,-15.5,0.0005
15.0,-15.5,0.0005
15.5,-15.5,0.0005
14.5,-15.5,0.0005
16.0,-15.5,0.0005
-15.0,-15.0,0.0005
-16.0,-15.0,0.0005
-15.5,-15.0,0.0005
-14.5,-15.0,0.0005
-14.0,-15.0,0.0005
-13.5,-15.0,0.0005
-13.0,-15.0,0.0005
-12.5,-15.0,0.0005
-12.0,-15.0,0.0005
-11.5,-15.0,0.0005
-11.0,-15.0,0.0005
-8.5,-15.0,0.0005
-10.5,-15.0,0.0005
-9.5,-15.0,0.0005
-10.0,-15.0,0.0005
-8.0,-15.0,0.0005
-7.5,-15.0,0.0005
-9.0,-15.0,0.0005
-7.0,-15.0,0.0005
-6.5,-15.0,0.0005
-6.0,-15.0,0.0005
-5.5,-15.0,0.0005
-4.0,-15.0,0.0005
-4.5,-15.0,0.0005
-5.0,-15.0,0.0005
-2.0,-15.0,0.0005
-3.5,-15.0,0.0005
-3.0,-15.0,0.0005
-2.5,-15.0,0.0005
0.5,-15.0,0.0005
-1.5,-15.0,0.0005
-1.0,-15.0,0.0005
-0.5,-15.0,0.0005
