time,amps,rewards,performances,running_average_performances,output0,output1,w0_0,w0_1,w1_0,w1_1,flux_w0_0,flux_w0_1,flux_w1_0,flux_w1_1,
0.00,4.00,0.0000,-0.0494,-0.0000,0.988066,0.000087,-10.00,8.00,-8.00,-10.00,-10.00,8.00,-8.00,-10.00,
1.00,4.00,0.0000,-0.0494,-0.0049,0.635879,0.011717,-10.00,8.00,-8.00,-10.00,-6.71,11.71,-4.61,-6.02,
2.00,4.00,0.0000,-0.0498,-0.0098,0.628641,0.042474,-10.00,8.00,-8.00,-10.00,-6.26,10.79,-4.41,-9.13,
3.00,4.00,0.0000,-0.0492,-0.0148,0.531988,0.014038,-10.00,8.00,-8.00,-10.00,-9.04,6.39,-7.60,-13.79,
4.00,4.00,0.0000,-0.0495,-0.0197,0.411078,0.001976,-10.00,8.00,-8.00,-10.00,-12.65,4.00,-11.16,-11.70,
5.00,4.00,0.0000,-0.0500,-0.0247,0.364531,0.000887,-10.00,8.00,-8.00,-10.00,-13.97,6.61,-11.75,-7.62,
6.00,4.00,0.0000,-0.0497,-0.0297,0.393656,0.001838,-10.00,8.00,-8.00,-10.00,-11.86,11.28,-8.81,-6.00,
7.00,4.00,0.0000,-0.0493,-0.0346,0.495583,0.006582,-10.00,8.00,-8.00,-10.00,-8.01,10.82,-5.06,-7.56,
8.00,4.00,0.0000,-0.0496,-0.0396,0.618733,0.006411,-10.00,8.00,-8.00,-10.00,-6.00,5.69,-4.18,-11.06,
9.00,4.00,0.0000,-0.0493,-0.0445,0.581267,0.002111,-10.00,8.00,-8.00,-10.00,-8.12,4.38,-7.13,-13.72,
10.00,4.00,0.0000,-0.0494,-0.0494,0.430703,0.002135,-10.00,8.00,-8.00,-10.00,-12.18,8.86,-10.94,-13.42,
11.00,4.00,0.0000,-0.0499,-0.0495,0.364259,0.003775,-10.00,8.00,-8.00,-10.00,-13.99,11.96,-11.82,-10.41,
12.00,4.00,0.0000,-0.0496,-0.0496,0.393862,0.004525,-10.00,8.00,-8.00,-10.00,-11.69,9.94,-8.87,-7.45,
13.00,4.00,0.0000,-0.0493,-0.0496,0.504126,0.002697,-10.00,8.00,-8.00,-10.00,-7.87,5.42,-4.85,-6.02,
14.00,4.00,0.0000,-0.0496,-0.0496,0.620576,0.001372,-10.00,8.00,-8.00,-10.00,-6.00,4.23,-4.49,-6.92,
15.00,4.00,0.0000,-0.0494,-0.0496,0.599153,0.002520,-10.00,8.00,-8.00,-10.00,-7.59,7.90,-8.37,-9.62,
16.00,4.00,0.0000,-0.0493,-0.0495,0.455773,0.006719,-10.00,8.00,-8.00,-10.00,-11.25,11.03,-11.80,-12.55,
17.00,4.00,0.0000,-0.0498,-0.0495,0.370475,0.007473,-10.00,8.00,-8.00,-10.00,-13.84,11.94,-10.64,-13.98,
18.00,4.00,0.0000,-0.0498,-0.0496,0.370822,0.005062,-10.00,8.00,-8.00,-10.00,-13.11,9.96,-6.14,-13.08,
19.00,4.00,0.0000,-0.0495,-0.0496,0.443841,0.002759,-10.00,8.00,-8.00,-10.00,-9.76,6.55,-4.10,-10.38,
20.00,4.00,0.0000,-0.0494,-0.0496,0.558814,0.001432,-10.00,8.00,-8.00,-10.00,-6.82,4.20,-7.84,-6.80,
21.00,4.00,0.0000,-0.0499,-0.0496,0.635670,0.001177,-10.00,8.00,-8.00,-10.00,-6.09,4.63,-11.82,-6.35,
22.00,4.00,0.0000,-0.0494,-0.0496,0.576946,0.002361,-10.00,8.00,-8.00,-10.00,-8.09,7.54,-10.13,-9.66,
23.00,4.00,0.0000,-0.0494,-0.0496,0.448528,0.005403,-10.00,8.00,-8.00,-10.00,-11.41,10.79,-5.45,-13.32,
24.00,4.00,0.0000,-0.0498,-0.0496,0.374907,0.006901,-10.00,8.00,-8.00,-10.00,-13.76,11.98,-4.24,-13.56,
25.00,4.00,0.0000,-0.0499,-0.0496,0.366114,0.005156,-10.00,8.00,-8.00,-10.00,-13.49,10.17,-8.05,-10.13,
26.00,4.00,0.0000,-0.0496,-0.0496,0.416977,0.002721,-10.00,8.00,-8.00,-10.00,-10.79,6.73,-11.79,-6.26,
27.00,4.00,0.0000,-0.0494,-0.0496,0.522243,0.001322,-10.00,8.00,-8.00,-10.00,-7.54,4.24,-10.47,-7.49,
28.00,4.00,0.0000,-0.0497,-0.0496,0.624772,0.001061,-10.00,8.00,-8.00,-10.00,-6.00,4.58,-6.31,-12.19,
29.00,4.00,0.0000,-0.0495,-0.0496,0.607586,0.002359,-10.00,8.00,-8.00,-10.00,-7.32,7.50,-4.06,-13.86,
