time,amps,rewards,performances,running_average_performances,output0,output1,w0_0,w0_1,w1_0,w1_1,flux_w0_0,flux_w0_1,flux_w1_0,flux_w1_1,
0.00,4.00,0.0000,-0.0494,-0.0000,0.988066,0.000087,-10.00,8.00,-8.00,-10.00,-10.00,8.00,-8.00,-10.00,
1.00,4.00,0.0000,-0.0495,-0.0049,0.645388,0.010574,-10.00,8.00,-8.00,-10.00,-6.54,11.36,-4.40,-6.47,
2.00,4.00,0.0000,-0.0495,-0.0098,0.623270,0.047680,-10.00,8.00,-8.00,-10.00,-6.54,11.65,-4.87,-6.69,
3.00,4.00,0.0000,-0.0491,-0.0148,0.490518,0.023174,-10.00,8.00,-8.00,-10.00,-10.00,8.60,-8.89,-10.43,
4.00,4.00,0.0000,-0.0497,-0.0197,0.385440,0.003378,-10.00,8.00,-8.00,-10.00,-13.46,5.00,-11.90,-13.72,
5.00,4.00,0.0000,-0.0499,-0.0247,0.367612,0.000832,-10.00,8.00,-8.00,-10.00,-13.46,4.15,-10.49,-13.05,
6.00,4.00,0.0000,-0.0495,-0.0297,0.434658,0.000766,-10.00,8.00,-8.00,-10.00,-10.00,6.82,-6.01,-8.82,
7.00,4.00,0.0000,-0.0493,-0.0346,0.561791,0.003703,-10.00,8.00,-8.00,-10.00,-6.66,11.01,-4.16,-6.18,
8.00,4.00,0.0000,-0.0497,-0.0395,0.622740,0.027800,-10.00,8.00,-8.00,-10.00,-6.34,11.49,-8.21,-11.18,
9.00,4.00,0.0000,-0.0492,-0.0445,0.512348,0.015511,-10.00,8.00,-8.00,-10.00,-9.36,7.31,-11.94,-13.82,
10.00,4.00,0.0000,-0.0496,-0.0494,0.401197,0.002235,-10.00,8.00,-8.00,-10.00,-12.97,4.06,-9.61,-9.30,
11.00,4.00,0.0000,-0.0500,-0.0495,0.364591,0.000842,-10.00,8.00,-8.00,-10.00,-13.86,6.06,-5.68,-6.34,
12.00,4.00,0.0000,-0.0496,-0.0495,0.406831,0.001556,-10.00,8.00,-8.00,-10.00,-11.22,10.28,-4.00,-6.63,
13.00,4.00,0.0000,-0.0493,-0.0496,0.518945,0.007258,-10.00,8.00,-8.00,-10.00,-7.49,11.99,-5.42,-9.92,
