seed,nnsize,wbrange,rl_nn_b_fit,time_passed,max_flux_amp,init_flux_amp,flux_period_min,flux_period_max,flux_conv_rate,learn_rate,performance_bias,performance_update_rate,
0,2,16,0.7194125378033258,9999.99,2,1,4,8,0.1,1.0,0.005,0.001,
0,2,16,0.6602116296250601,3891.2200000000003,4,1,4,8,0.1,1.0,0.005,0.001,
0,2,16,0.690242007159015,5293.76,6,1,4,8,0.1,1.0,0.005,0.001,
0,2,16,0.6251522337191343,3280.33,8,1,4,8,0.1,1.0,0.005,0.001,
0,2,16,0.6273559779631738,3446.21,10,1,4,8,0.1,1.0,0.005,0.001,
0,2,16,0.6066205732792349,3380.4700000000003,12,1,4,8,0.1,1.0,0.005,0.001,
0,2,16,0.6760882900906717,3314.01,14,1,4,8,0.1,1.0,0.005,0.001,
0,2,16,0.6716389105904137,4273.89,16,1,4,8,0.1,1.0,0.005,0.001,
0,2,16,0.6925325715461095,9999.99,2,1,4,8,0.09,1.0,0.005,0.001,
0,2,16,0.6730171025903664,9999.99,4,1,4,8,0.09,1.0,0.005,0.001,
0,2,16,0.6355426590832394,5891.45,6,1,4,8,0.09,1.0,0.005,0.001,
0,2,16,0.6368174495675157,3461.88,8,1,4,8,0.09,1.0,0.005,0.001,
0,2,16,0.6080712222063942,3998.27,10,1,4,8,0.09,1.0,0.005,0.001,
0,2,16,0.6647335501357154,3574.6800000000003,12,1,4,8,0.09,1.0,0.005,0.001,
0,2,16,0.6092587563933313,3378.8,14,1,4,8,0.09,1.0,0.005,0.001,
0,2,16,0.7067830526336609,4027.51,16,1,4,8,0.09,1.0,0.005,0.001,
0,2,16,0.6227773559876663,9999.99,2,1,4,8,0.08,1.0,0.005,0.001,
0,2,16,0.701160655597576,9999.99,4,1,4,8,0.08,1.0,0.005,0.001,
0,2,16,0.6401263471611628,8773.99,6,1,4,8,0.08,1.0,0.005,0.001,
0,2,16,0.6691466051096224,5687.42,8,1,4,8,0.08,1.0,0.005,0.001,
0,2,16,0.6251522337191343,3280.33,10,1,4,8,0.08,1.0,0.005,0.001,
0,2,16,0.6719043118444998,4016.9900000000002,12,1,4,8,0.08,1.0,0.005,0.001,
0,2,16,0.5958733391967772,3381.32,14,1,4,8,0.08,1.0,0.005,0.001,
