seed,nnsize,wbrange,rl_nn_b_fit,time_passed,max_flux_amp,init_flux_amp,flux_period_min,flux_period_max,flux_conv_rate,learn_rate,performance_bias,performance_update_rate,
1,3,16,0.01710980280600811,9999.99,2,1,4,8,0.1,1.0,0.005,0.001,
2,3,16,0.4731834981800575,9999.99,2,1,4,8,0.1,1.0,0.005,0.001,
3,3,16,0.8749287422626886,9999.99,2,1,4,8,0.1,1.0,0.005,0.001,
4,3,16,0.020315238607206597,9999.99,2,1,4,8,0.1,1.0,0.005,0.001,
5,3,16,0.0037414140651813705,9999.99,2,1,4,8,0.1,1.0,0.005,0.001,
6,3,16,0.02096450150546787,9999.99,2,1,4,8,0.1,1.0,0.005,0.001,
7,3,16,0.01057890367883716,9999.99,2,1,4,8,0.1,1.0,0.005,0.001,
8,3,16,0.5632109839654508,9999.99,2,1,4,8,0.1,1.0,0.005,0.001,
9,3,16,0.3595651930747044,9999.99,2,1,4,8,0.1,1.0,0.005,0.001,
1,3,16,0.006519383971609426,9999.99,4,1,4,8,0.1,1.0,0.005,0.001,
2,3,16,0.47309432768143733,9999.99,4,1,4,8,0.1,1.0,0.005,0.001,
3,3,16,0.6416146187535137,9999.99,4,1,4,8,0.1,1.0,0.005,0.001,
4,3,16,0.45928901512518616,9999.99,4,1,4,8,0.1,1.0,0.005,0.001,
5,3,16,0.6754409326240423,9999.99,4,1,4,8,0.1,1.0,0.005,0.001,
6,3,16,0.6908498574774822,9823.36,4,1,4,8,0.1,1.0,0.005,0.001,
7,3,16,0.11118968929537984,9999.99,4,1,4,8,0.1,1.0,0.005,0.001,
8,3,16,0.7303326089038396,6466.1900000000005,4,1,4,8,0.1,1.0,0.005,0.001,
9,3,16,0.7044865491571513,8835.45,4,1,4,8,0.1,1.0,0.005,0.001,
1,3,16,0.8300511444138259,2131.93,6,1,4,8,0.1,1.0,0.005,0.001,
2,3,16,0.5384520276884412,5388.84,6,1,4,8,0.1,1.0,0.005,0.001,
3,3,16,0.6527444777389969,1260.3500000000001,6,1,4,8,0.1,1.0,0.005,0.001,
4,3,16,0.4021893424816375,9999.99,6,1,4,8,0.1,1.0,0.005,0.001,
5,3,16,0.8242273886508711,1833.22,6,1,4,8,0.1,1.0,0.005,0.001,
6,3,16,0.619737696346953,5260.78,6,1,4,8,0.1,1.0,0.005,0.001,
7,3,16,0.4485345070552832,9999.99,6,1,4,8,0.1,1.0,0.005,0.001,
8,3,16,0.647124456561874,4880.9800000000005,6,1,4,8,0.1,1.0,0.005,0.001,
9,3,16,0.6432347113763274,2957.67,6,1,4,8,0.1,1.0,0.005,0.001,
1,3,16,0.7422271595651462,2533.02,8,1,4,8,0.1,1.0,0.005,0.001,
2,3,16,0.7205105383364334,1051.56,8,1,4,8,0.1,1.0,0.005,0.001,
3,3,16,0.6881445761204987,1421.75,8,1,4,8,0.1,1.0,0.005,0.001,
4,3,16,0.6034129656336643,1890.23,8,1,4,8,0.1,1.0,0.005,0.001,
5,3,16,0.6409056611400656,1488.14,8,1,4,8,0.1,1.0,0.005,0.001,
6,3,16,0.5750511046938811,9717.73,8,1,4,8,0.1,1.0,0.005,0.001,
7,3,16,0.5905076470484474,7563.7,8,1,4,8,0.1,1.0,0.005,0.001,
8,3,16,0.7209246473478094,1022.66,8,1,4,8,0.1,1.0,0.005,0.001,
9,3,16,0.7048939836998211,3964.62,8,1,4,8,0.1,1.0,0.005,0.001,
1,3,16,0.8473720441992167,1209.84,10,1,4,8,0.1,1.0,0.005,0.001,
2,3,16,0.6792948387005976,1359.31,10,1,4,8,0.1,1.0,0.005,0.001,
3,3,16,0.7375351660104795,2614.86,10,1,4,8,0.1,1.0,0.005,0.001,
4,3,16,0.6614481048057779,1447.02,10,1,4,8,0.1,1.0,0.005,0.001,
5,3,16,0.6887052671085424,3511.2400000000002,10,1,4,8,0.1,1.0,0.005,0.001,
6,3,16,0.6997703888581733,2376.91,10,1,4,8,0.1,1.0,0.005,0.001,
7,3,16,0.8815972087790482,4452.03,10,1,4,8,0.1,1.0,0.005,0.001,
8,3,16,0.683375619091737,653.8000000000001,10,1,4,8,0.1,1.0,0.005,0.001,
9,3,16,0.6357677608105321,627.51,10,1,4,8,0.1,1.0,0.005,0.001,
1,3,16,0.7385768340561836,819.87,12,1,4,8,0.1,1.0,0.005,0.001,
2,3,16,0.8146993979150045,1590.06,12,1,4,8,0.1,1.0,0.005,0.001,
3,3,16,0.730097270601899,2584.94,12,1,4,8,0.1,1.0,0.005,0.001,
4,3,16,0.6416372057560171,1431.95,12,1,4,8,0.1,1.0,0.005,0.001,
5,3,16,0.6587380834781347,1027.63,12,1,4,8,0.1,1.0,0.005,0.001,
6,3,16,0.6547477940222713,1147.05,12,1,4,8,0.1,1.0,0.005,0.001,
7,3,16,0.6448731781042628,1120.88,12,1,4,8,0.1,1.0,0.005,0.001,
8,3,16,0.7672126114473261,1025.29,12,1,4,8,0.1,1.0,0.005,0.001,
9,3,16,0.7385977315833722,475.58,12,1,4,8,0.1,1.0,0.005,0.001,
1,3,16,0.7939023539375497,724.19,14,1,4,8,0.1,1.0,0.005,0.001,
2,3,16,0.8460622289491025,1822.63,14,1,4,8,0.1,1.0,0.005,0.001,
3,3,16,0.6949676836934249,872.76,14,1,4,8,0.1,1.0,0.005,0.001,
4,3,16,0.6685568509794517,1112.8600000000001,14,1,4,8,0.1,1.0,0.005,0.001,
5,3,16,0.8372484725886062,1614.46,14,1,4,8,0.1,1.0,0.005,0.001,
6,3,16,0.601837784498446,1149.22,14,1,4,8,0.1,1.0,0.005,0.001,
7,3,16,0.7953974610121413,1562.0,14,1,4,8,0.1,1.0,0.005,0.001,
8,3,16,0.7648238826959577,525.37,14,1,4,8,0.1,1.0,0.005,0.001,
9,3,16,0.7584536393289408,638.29,14,1,4,8,0.1,1.0,0.005,0.001,
1,3,16,0.849684964069875,3614.26,16,1,4,8,0.1,1.0,0.005,0.001,
2,3,16,0.6862283557487656,1977.74,16,1,4,8,0.1,1.0,0.005,0.001,
3,3,16,0.8456712774839478,927.1,16,1,4,8,0.1,1.0,0.005,0.001,
4,3,16,0.7669185789301547,1688.0,16,1,4,8,0.1,1.0,0.005,0.001,
5,3,16,0.6462122549154311,420.1,16,1,4,8,0.1,1.0,0.005,0.001,
6,3,16,0.6916137073385149,2370.28,16,1,4,8,0.1,1.0,0.005,0.001,
7,3,16,0.6642961228862853,588.03,16,1,4,8,0.1,1.0,0.005,0.001,
8,3,16,0.883828255550481,692.01,16,1,4,8,0.1,1.0,0.005,0.001,
9,3,16,0.7565162628999184,662.76,16,1,4,8,0.1,1.0,0.005,0.001,
1,3,16,0.016746849932768183,9999.99,2,1,4,8,0.09,1.0,0.005,0.001,
2,3,16,0.4596115060305321,9999.99,2,1,4,8,0.09,1.0,0.005,0.001,
3,3,16,0.9081593337474801,9999.99,2,1,4,8,0.09,1.0,0.005,0.001,
4,3,16,0.020154422398305703,9999.99,2,1,4,8,0.09,1.0,0.005,0.001,
5,3,16,0.006946661561775126,9999.99,2,1,4,8,0.09,1.0,0.005,0.001,
6,3,16,0.018795094676799594,9999.99,2,1,4,8,0.09,1.0,0.005,0.001,
7,3,16,0.0118043866162522,9999.99,2,1,4,8,0.09,1.0,0.005,0.001,
8,3,16,0.5248719740359454,9999.99,2,1,4,8,0.09,1.0,0.005,0.001,
9,3,16,0.44994190181858695,9999.99,2,1,4,8,0.09,1.0,0.005,0.001,
1,3,16,0.6789679127928796,5573.49,4,1,4,8,0.09,1.0,0.005,0.001,
2,3,16,0.4594033633372644,9999.99,4,1,4,8,0.09,1.0,0.005,0.001,
3,3,16,0.7259873772229704,5083.9400000000005,4,1,4,8,0.09,1.0,0.005,0.001,
4,3,16,0.43524908845591515,9999.99,4,1,4,8,0.09,1.0,0.005,0.001,
5,3,16,0.7303230210701723,9507.630000000001,4,1,4,8,0.09,1.0,0.005,0.001,
6,3,16,0.02585516053042977,9999.99,4,1,4,8,0.09,1.0,0.005,0.001,
7,3,16,0.00746625192420264,9999.99,4,1,4,8,0.09,1.0,0.005,0.001,
8,3,16,0.47554723335462307,9999.99,4,1,4,8,0.09,1.0,0.005,0.001,
9,3,16,0.5625821827173094,9999.99,4,1,4,8,0.09,1.0,0.005,0.001,
1,3,16,0.6351952149734028,5154.97,6,1,4,8,0.09,1.0,0.005,0.001,
2,3,16,0.45596326149917205,9999.99,6,1,4,8,0.09,1.0,0.005,0.001,
3,3,16,0.6218829503262369,9999.99,6,1,4,8,0.09,1.0,0.005,0.001,
4,3,16,0.37997068507398846,9999.99,6,1,4,8,0.09,1.0,0.005,0.001,
