seed,nnsize,wbrange,rl_nn_b_fit,time_passed,max_flux_amp,init_flux_amp,flux_period_min,flux_period_max,flux_conv_rate,learn_rate,performance_bias,performance_update_rate,
0,2,16,0.7194125378033258,9999.99,2,1,4,8,0.1,1.0,0.005,0.001,
0,2,16,0.6609512992823723,9999.99,4,1,4,8,0.1,1.0,0.005,0.001,
0,2,16,0.6940643224471388,9999.99,6,1,4,8,0.1,1.0,0.005,0.001,
0,2,16,0.6305177302363363,9999.99,8,1,4,8,0.1,1.0,0.005,0.001,
0,2,16,0.6550773044985918,9999.99,10,1,4,8,0.1,1.0,0.005,0.001,
0,2,16,0.6416957293579002,9999.99,12,1,4,8,0.1,1.0,0.005,0.001,
0,2,16,0.6940408905564983,9999.99,14,1,4,8,0.1,1.0,0.005,0.001,
0,2,16,0.7053703820221091,9999.99,16,1,4,8,0.1,1.0,0.005,0.001,
0,2,16,0.6925325715461095,9999.99,2,1,4,8,0.09,1.0,0.005,0.001,
0,2,16,0.6730171025903664,9999.99,4,1,4,8,0.09,1.0,0.005,0.001,
0,2,16,0.6396993797702099,9999.99,6,1,4,8,0.09,1.0,0.005,0.001,
0,2,16,0.6526245072066735,9999.99,8,1,4,8,0.09,1.0,0.005,0.001,
0,2,16,0.6772974582090779,9999.99,10,1,4,8,0.09,1.0,0.005,0.001,
0,2,16,0.6879381244040723,9999.99,12,1,4,8,0.09,1.0,0.005,0.001,
0,2,16,0.6558513786611071,9999.99,14,1,4,8,0.09,1.0,0.005,0.001,
0,2,16,0.7116523888438391,9999.99,16,1,4,8,0.09,1.0,0.005,0.001,
0,2,16,0.6227773559876663,9999.99,2,1,4,8,0.08,1.0,0.005,0.001,
0,2,16,0.701160655597576,9999.99,4,1,4,8,0.08,1.0,0.005,0.001,
0,2,16,0.6410224722386366,9999.99,6,1,4,8,0.08,1.0,0.005,0.001,
0,2,16,0.6719711160355353,9999.99,8,1,4,8,0.08,1.0,0.005,0.001,
0,2,16,0.6305177302363363,9999.99,10,1,4,8,0.08,1.0,0.005,0.001,
0,2,16,0.6830527928288287,9999.99,12,1,4,8,0.08,1.0,0.005,0.001,
0,2,16,0.6296161990795288,9999.99,14,1,4,8,0.08,1.0,0.005,0.001,
0,2,16,0.6728674319042004,9999.99,16,1,4,8,0.08,1.0,0.005,0.001,
0,2,16,0.10671324821248969,9999.99,2,1,4,8,0.07,1.0,0.005,0.001,
0,2,16,0.7161069455777191,9999.99,4,1,4,8,0.07,1.0,0.005,0.001,
0,2,16,0.6554016114923534,9999.99,6,1,4,8,0.07,1.0,0.005,0.001,
0,2,16,0.6764779668031564,9999.99,8,1,4,8,0.07,1.0,0.005,0.001,
0,2,16,0.6452917957497166,9999.99,10,1,4,8,0.07,1.0,0.005,0.001,
0,2,16,0.6385921964405534,9999.99,12,1,4,8,0.07,1.0,0.005,0.001,
0,2,16,0.6194778020535219,9999.99,14,1,4,8,0.07,1.0,0.005,0.001,
0,2,16,0.6296161990795288,9999.99,16,1,4,8,0.07,1.0,0.005,0.001,
0,2,16,0.014809179335101567,9999.99,2,1,4,8,0.06,1.0,0.005,0.001,
0,2,16,0.6896793412968406,9999.99,4,1,4,8,0.06,1.0,0.005,0.001,
0,2,16,0.6730171025903664,9999.99,6,1,4,8,0.06,1.0,0.005,0.001,
0,2,16,0.6410224722386366,9999.99,8,1,4,8,0.06,1.0,0.005,0.001,
0,2,16,0.6940643218423048,9999.99,10,1,4,8,0.06,1.0,0.005,0.001,
0,2,16,0.6526245072066735,9999.99,12,1,4,8,0.06,1.0,0.005,0.001,
0,2,16,0.6385921964530019,9999.99,14,1,4,8,0.06,1.0,0.005,0.001,
0,2,16,0.6830527928288287,9999.99,16,1,4,8,0.06,1.0,0.005,0.001,
0,2,16,0.026206907987849627,9999.99,2,1,4,8,0.05,1.0,0.005,0.001,
0,2,16,0.7194125378033258,9999.99,4,1,4,8,0.05,1.0,0.005,0.001,
0,2,16,0.6831994627889229,9999.99,6,1,4,8,0.05,1.0,0.005,0.001,
0,2,16,0.6609512992823723,9999.99,8,1,4,8,0.05,1.0,0.005,0.001,
0,2,16,0.6492383201823888,9999.99,10,1,4,8,0.05,1.0,0.005,0.001,
0,2,16,0.6940643224471388,9999.99,12,1,4,8,0.05,1.0,0.005,0.001,
0,2,16,0.6452917957497166,9999.99,14,1,4,8,0.05,1.0,0.005,0.001,
0,2,16,0.6305177302363363,9999.99,16,1,4,8,0.05,1.0,0.005,0.001,
0,2,16,0.014828957006740903,9999.99,2,1,4,8,0.04,1.0,0.005,0.001,
0,2,16,0.6227773559876663,9999.99,4,1,4,8,0.04,1.0,0.005,0.001,
0,2,16,0.6896793412968406,9999.99,6,1,4,8,0.04,1.0,0.005,0.001,
0,2,16,0.701160655597576,9999.99,8,1,4,8,0.04,1.0,0.005,0.001,
0,2,16,0.6609512992823723,9999.99,10,1,4,8,0.04,1.0,0.005,0.001,
0,2,16,0.6410224722386366,9999.99,12,1,4,8,0.04,1.0,0.005,0.001,
0,2,16,0.6764779668031564,9999.99,14,1,4,8,0.04,1.0,0.005,0.001,
0,2,16,0.6719711160355353,9999.99,16,1,4,8,0.04,1.0,0.005,0.001,
0,2,16,0.032912610806532586,9999.99,2,1,4,8,0.03,1.0,0.005,0.001,
0,2,16,0.014809179335101567,9999.99,4,1,4,8,0.03,1.0,0.005,0.001,
0,2,16,0.6925325715461095,9999.99,6,1,4,8,0.03,1.0,0.005,0.001,
0,2,16,0.6896793412968406,9999.99,8,1,4,8,0.03,1.0,0.005,0.001,
0,2,16,0.6831994627467428,9999.99,10,1,4,8,0.03,1.0,0.005,0.001,
0,2,16,0.6730171025903664,9999.99,12,1,4,8,0.03,1.0,0.005,0.001,
0,2,16,0.655401611473187,9999.99,14,1,4,8,0.03,1.0,0.005,0.001,
0,2,16,0.6410224722386366,9999.99,16,1,4,8,0.03,1.0,0.005,0.001,
0,2,16,0.02279191144257029,9999.99,2,1,4,8,0.02,1.0,0.005,0.001,
0,2,16,0.014828957006740903,9999.99,4,1,4,8,0.02,1.0,0.005,0.001,
0,2,16,0.014809179335101567,9999.99,6,1,4,8,0.02,1.0,0.005,0.001,
0,2,16,0.6227773559876663,9999.99,8,1,4,8,0.02,1.0,0.005,0.001,
0,2,16,0.7194125378033258,9999.99,10,1,4,8,0.02,1.0,0.005,0.001,
0,2,16,0.6896793412968406,9999.99,12,1,4,8,0.02,1.0,0.005,0.001,
0,2,16,0.7161069455777191,9999.99,14,1,4,8,0.02,1.0,0.005,0.001,
0,2,16,0.701160655597576,9999.99,16,1,4,8,0.02,1.0,0.005,0.001,
0,2,16,0.02345960157412644,9999.99,2,1,4,8,0.01,1.0,0.005,0.001,
0,2,16,0.02279191144257029,9999.99,4,1,4,8,0.01,1.0,0.005,0.001,
0,2,16,0.032912610806532586,9999.99,6,1,4,8,0.01,1.0,0.005,0.001,
0,2,16,0.014828957006740903,9999.99,8,1,4,8,0.01,1.0,0.005,0.001,
0,2,16,0.026206907987849627,9999.99,10,1,4,8,0.01,1.0,0.005,0.001,
0,2,16,0.014809179335101567,9999.99,12,1,4,8,0.01,1.0,0.005,0.001,
0,2,16,0.10671324821248969,9999.99,14,1,4,8,0.01,1.0,0.005,0.001,
0,2,16,0.6227773559876663,9999.99,16,1,4,8,0.01,1.0,0.005,0.001,
