seed,nnsize,wbrange,rl_nn_b_fit,time_passed,max_flux_amp,init_flux_amp,flux_period_min,flux_period_max,flux_conv_rate,learn_rate,performance_bias,performance_update_rate,
0,2,16,0.024136482726613045,9999.99,2,1,1,2,0.05,1.0,0.005,0.001,
0,2,16,0.024187175955953065,9999.99,4,1,1,2,0.05,1.0,0.005,0.001,
0,2,16,0.02441928929821649,9999.99,6,1,1,2,0.05,1.0,0.005,0.001,
0,2,16,0.03906303259149492,9999.99,8,1,1,2,0.05,1.0,0.005,0.001,
0,2,16,0.024265254689521395,9999.99,10,1,1,2,0.05,1.0,0.005,0.001,
0,2,16,0.07037282313780109,9999.99,12,1,1,2,0.05,1.0,0.005,0.001,
0,2,16,0.06713047513984602,9999.99,14,1,1,2,0.05,1.0,0.005,0.001,
0,2,16,0.07847056107919904,9999.99,16,1,1,2,0.05,1.0,0.005,0.001,
0,2,16,0.024818238643372514,9999.99,2,1,2,4,0.05,1.0,0.005,0.001,
0,2,16,0.024890410758347085,9999.99,4,1,2,4,0.05,1.0,0.005,0.001,
0,2,16,0.024996316134645598,9999.99,6,1,2,4,0.05,1.0,0.005,0.001,
0,2,16,0.025102910802482274,9999.99,8,1,2,4,0.05,1.0,0.005,0.001,
0,2,16,0.7022678807447691,6677.7,10,1,2,4,0.05,1.0,0.005,0.001,
0,2,16,0.6883054952749614,4130.05,12,1,2,4,0.05,1.0,0.005,0.001,
0,2,16,0.6525392674902801,4746.3,14,1,2,4,0.05,1.0,0.005,0.001,
0,2,16,0.6722366649129584,4457.64,16,1,2,4,0.05,1.0,0.005,0.001,
0,2,16,0.023263883231452846,9999.99,2,1,3,6,0.05,1.0,0.005,0.001,
0,2,16,0.040520690017202786,9999.99,4,1,3,6,0.05,1.0,0.005,0.001,
0,2,16,0.7118519550481524,9999.99,6,1,3,6,0.05,1.0,0.005,0.001,
0,2,16,0.6834313161736183,5091.18,8,1,3,6,0.05,1.0,0.005,0.001,
0,2,16,0.6877761436751527,3529.79,10,1,3,6,0.05,1.0,0.005,0.001,
0,2,16,0.7082386354049885,9031.52,12,1,3,6,0.05,1.0,0.005,0.001,
0,2,16,0.6948132274847255,9203.0,14,1,3,6,0.05,1.0,0.005,0.001,
0,2,16,0.6174297878330187,8977.39,16,1,3,6,0.05,1.0,0.005,0.001,
0,2,16,0.026206907987849627,9999.99,2,1,4,8,0.05,1.0,0.005,0.001,
0,2,16,0.7194125378033258,9999.99,4,1,4,8,0.05,1.0,0.005,0.001,
0,2,16,0.6831994627889229,9999.99,6,1,4,8,0.05,1.0,0.005,0.001,
0,2,16,0.6602116296250601,3891.2200000000003,8,1,4,8,0.05,1.0,0.005,0.001,
0,2,16,0.6431842417696123,6486.39,10,1,4,8,0.05,1.0,0.005,0.001,
0,2,16,0.690242007159015,5293.76,12,1,4,8,0.05,1.0,0.005,0.001,
0,2,16,0.6241152737797988,3462.58,14,1,4,8,0.05,1.0,0.005,0.001,
0,2,16,0.6251522337191343,3280.33,16,1,4,8,0.05,1.0,0.005,0.001,
0,2,16,0.03999419516265924,9999.99,2,1,5,10,0.05,1.0,0.005,0.001,
0,2,16,0.7067062890822038,9999.99,4,1,5,10,0.05,1.0,0.005,0.001,
0,2,16,0.681155388690867,9999.99,6,1,5,10,0.05,1.0,0.005,0.001,
0,2,16,0.6551330526103306,7581.64,8,1,5,10,0.05,1.0,0.005,0.001,
0,2,16,0.639087317389502,3488.2400000000002,10,1,5,10,0.05,1.0,0.005,0.001,
0,2,16,0.6438471933814636,4602.14,12,1,5,10,0.05,1.0,0.005,0.001,
0,2,16,0.6510763466629872,3961.78,14,1,5,10,0.05,1.0,0.005,0.001,
0,2,16,0.6652681433337772,4711.46,16,1,5,10,0.05,1.0,0.005,0.001,
0,2,16,0.027120296333677425,9999.99,2,1,6,12,0.05,1.0,0.005,0.001,
0,2,16,0.038258331701913936,9999.99,4,1,6,12,0.05,1.0,0.005,0.001,
0,2,16,0.6822670775894019,9999.99,6,1,6,12,0.05,1.0,0.005,0.001,
0,2,16,0.020682886573897184,9999.99,8,1,6,12,0.05,1.0,0.005,0.001,
0,2,16,0.6624067634063754,5990.12,10,1,6,12,0.05,1.0,0.005,0.001,
0,2,16,0.6630323288496672,1747.97,12,1,6,12,0.05,1.0,0.005,0.001,
0,2,16,0.6438687478562459,6034.150000000001,14,1,6,12,0.05,1.0,0.005,0.001,
0,2,16,0.62613314708524,3288.4500000000003,16,1,6,12,0.05,1.0,0.005,0.001,
0,2,16,0.02736067932290807,9999.99,2,1,7,14,0.05,1.0,0.005,0.001,
0,2,16,0.0314554197166765,9999.99,4,1,7,14,0.05,1.0,0.005,0.001,
0,2,16,0.034841043569899276,9999.99,6,1,7,14,0.05,1.0,0.005,0.001,
0,2,16,0.0375646505063344,9999.99,8,1,7,14,0.05,1.0,0.005,0.001,
0,2,16,0.03972549434929582,9999.99,10,1,7,14,0.05,1.0,0.005,0.001,
0,2,16,0.5917912223270113,6905.83,12,1,7,14,0.05,1.0,0.005,0.001,
0,2,16,0.6197795082031982,5483.9400000000005,14,1,7,14,0.05,1.0,0.005,0.001,
0,2,16,0.6150839793811288,5483.39,16,1,7,14,0.05,1.0,0.005,0.001,
0,2,16,0.025258435027625585,9999.99,2,1,8,16,0.05,1.0,0.005,0.001,
0,2,16,0.042673209774499656,9999.99,4,1,8,16,0.05,1.0,0.005,0.001,
0,2,16,0.028800596455808302,9999.99,6,1,8,16,0.05,1.0,0.005,0.001,
0,2,16,0.6300484692386591,9999.99,8,1,8,16,0.05,1.0,0.005,0.001,
0,2,16,0.027567347320271884,9999.99,10,1,8,16,0.05,1.0,0.005,0.001,
0,2,16,0.5644304504253048,4380.28,12,1,8,16,0.05,1.0,0.005,0.001,
0,2,16,0.6082216569321729,4415.86,14,1,8,16,0.05,1.0,0.005,0.001,
0,2,16,0.6594666902232573,4265.64,16,1,8,16,0.05,1.0,0.005,0.001,
0,2,16,0.01825654712098409,9999.99,2,1,9,18,0.05,1.0,0.005,0.001,
0,2,16,0.03622465114759186,9999.99,4,1,9,18,0.05,1.0,0.005,0.001,
0,2,16,0.033528842224597295,9999.99,6,1,9,18,0.05,1.0,0.005,0.001,
0,2,16,0.033479441737158375,9999.99,8,1,9,18,0.05,1.0,0.005,0.001,
0,2,16,0.039230311721503666,9999.99,10,1,9,18,0.05,1.0,0.005,0.001,
0,2,16,0.622777979268694,6154.97,12,1,9,18,0.05,1.0,0.005,0.001,
0,2,16,0.5252596974584716,7718.0,14,1,9,18,0.05,1.0,0.005,0.001,
0,2,16,0.5334394453345008,1904.0,16,1,9,18,0.05,1.0,0.005,0.001,
0,2,16,0.05076333817128838,9999.99,2,1,10,20,0.05,1.0,0.005,0.001,
0,2,16,0.0554675667350704,9999.99,4,1,10,20,0.05,1.0,0.005,0.001,
0,2,16,0.028289783648265752,9999.99,6,1,10,20,0.05,1.0,0.005,0.001,
0,2,16,0.04013876112282393,9999.99,8,1,10,20,0.05,1.0,0.005,0.001,
0,2,16,0.6059272364603441,5366.63,10,1,10,20,0.05,1.0,0.005,0.001,
0,2,16,0.5946801006771748,5285.95,12,1,10,20,0.05,1.0,0.005,0.001,
0,2,16,0.6816263371896516,3682.98,14,1,10,20,0.05,1.0,0.005,0.001,
0,2,16,0.6546239309995043,2849.85,16,1,10,20,0.05,1.0,0.005,0.001,
seed,nnsize,wbrange,rl_nn_b_fit,time_passed,max_flux_amp,init_flux_amp,flux_period_min,flux_period_max,flux_conv_rate,learn_rate,performance_bias,performance_update_rate,
1,2,16,0.1676616154251481,9999.99,2,1,1,2,0.05,1.0,0.005,0.001,
2,2,16,0.147629757434987,9999.99,2,1,1,2,0.05,1.0,0.005,0.001,
3,2,16,0.021117826074284928,9999.99,2,1,1,2,0.05,1.0,0.005,0.001,
4,2,16,1.0245656485743748e-05,9999.99,2,1,1,2,0.05,1.0,0.005,0.001,
5,2,16,0.017558259394782276,9999.99,2,1,1,2,0.05,1.0,0.005,0.001,
6,2,16,0.023906890327305176,9999.99,2,1,1,2,0.05,1.0,0.005,0.001,
7,2,16,0.03852336222490614,9999.99,2,1,1,2,0.05,1.0,0.005,0.001,
8,2,16,0.19271979096388683,9999.99,2,1,1,2,0.05,1.0,0.005,0.001,
9,2,16,0.018522784629828808,9999.99,2,1,1,2,0.05,1.0,0.005,0.001,
1,2,16,0.06717055828101384,9999.99,4,1,1,2,0.05,1.0,0.005,0.001,
2,2,16,0.15405436654056043,9999.99,4,1,1,2,0.05,1.0,0.005,0.001,
3,2,16,0.022705060634524404,9999.99,4,1,1,2,0.05,1.0,0.005,0.001,
4,2,16,1.0240519595586724e-05,9999.99,4,1,1,2,0.05,1.0,0.005,0.001,
5,2,16,0.01962793815342707,9999.99,4,1,1,2,0.05,1.0,0.005,0.001,
6,2,16,0.02660769972439761,9999.99,4,1,1,2,0.05,1.0,0.005,0.001,
7,2,16,0.048840769891851155,9999.99,4,1,1,2,0.05,1.0,0.005,0.001,
8,2,16,0.2075328170091919,9999.99,4,1,1,2,0.05,1.0,0.005,0.001,
9,2,16,0.020257283096820806,9999.99,4,1,1,2,0.05,1.0,0.005,0.001,
1,2,16,0.07474227763289423,9999.99,6,1,1,2,0.05,1.0,0.005,0.001,
2,2,16,0.1582137397744295,9999.99,6,1,1,2,0.05,1.0,0.005,0.001,
3,2,16,0.02345375832347131,9999.99,6,1,1,2,0.05,1.0,0.005,0.001,
4,2,16,1.0235440839581749e-05,9999.99,6,1,1,2,0.05,1.0,0.005,0.001,
5,2,16,0.021157302860152587,9999.99,6,1,1,2,0.05,1.0,0.005,0.001,
6,2,16,0.0257447033433906,9999.99,6,1,1,2,0.05,1.0,0.005,0.001,
7,2,16,0.02633013956453706,9999.99,6,1,1,2,0.05,1.0,0.005,0.001,
8,2,16,0.2244456364992507,9999.99,6,1,1,2,0.05,1.0,0.005,0.001,
9,2,16,0.02125908887544039,9999.99,6,1,1,2,0.05,1.0,0.005,0.001,
1,2,16,0.06491922514709329,9999.99,8,1,1,2,0.05,1.0,0.005,0.001,
2,2,16,0.16236185752340057,9999.99,8,1,1,2,0.05,1.0,0.005,0.001,
3,2,16,0.023863484171166453,9999.99,8,1,1,2,0.05,1.0,0.005,0.001,
4,2,16,1.0230436071183461e-05,9999.99,8,1,1,2,0.05,1.0,0.005,0.001,
5,2,16,0.02218600893658957,9999.99,8,1,1,2,0.05,1.0,0.005,0.001,
6,2,16,0.040427329509355084,9999.99,8,1,1,2,0.05,1.0,0.005,0.001,
7,2,16,0.032443024411760994,9999.99,8,1,1,2,0.05,1.0,0.005,0.001,
8,2,16,0.22393061282726295,9999.99,8,1,1,2,0.05,1.0,0.005,0.001,
9,2,16,0.022033542048652294,9999.99,8,1,1,2,0.05,1.0,0.005,0.001,
1,2,16,0.09425331839584454,9999.99,10,1,1,2,0.05,1.0,0.005,0.001,
2,2,16,0.16579787409301563,9999.99,10,1,1,2,0.05,1.0,0.005,0.001,
3,2,16,0.02410638945096516,9999.99,10,1,1,2,0.05,1.0,0.005,0.001,
4,2,16,1.0225536898519061e-05,9999.99,10,1,1,2,0.05,1.0,0.005,0.001,
5,2,16,0.022886662174790268,9999.99,10,1,1,2,0.05,1.0,0.005,0.001,
6,2,16,0.03474986814906462,9999.99,10,1,1,2,0.05,1.0,0.005,0.001,
7,2,16,0.14106488400543174,9999.99,10,1,1,2,0.05,1.0,0.005,0.001,
8,2,16,0.2299947613930426,9999.99,10,1,1,2,0.05,1.0,0.005,0.001,
9,2,16,0.022614575399393124,9999.99,10,1,1,2,0.05,1.0,0.005,0.001,
1,2,16,0.1640501867090169,9999.99,12,1,1,2,0.05,1.0,0.005,0.001,
2,2,16,0.1690054281652223,9999.99,12,1,1,2,0.05,1.0,0.005,0.001,
3,2,16,0.024264615227475285,9999.99,12,1,1,2,0.05,1.0,0.005,0.001,
4,2,16,1.0220805758621306e-05,9999.99,12,1,1,2,0.05,1.0,0.005,0.001,
5,2,16,0.023379488697582138,9999.99,12,1,1,2,0.05,1.0,0.005,0.001,
6,2,16,0.028053806281720883,9999.99,12,1,1,2,0.05,1.0,0.005,0.001,
7,2,16,0.045826497080018645,9999.99,12,1,1,2,0.05,1.0,0.005,0.001,
8,2,16,0.22855298876196656,9999.99,12,1,1,2,0.05,1.0,0.005,0.001,
9,2,16,0.02304388157004038,9999.99,12,1,1,2,0.05,1.0,0.005,0.001,
1,2,16,0.17391463661367781,9999.99,14,1,1,2,0.05,1.0,0.005,0.001,
2,2,16,0.17197768607289954,9999.99,14,1,1,2,0.05,1.0,0.005,0.001,
3,2,16,0.024374925583934254,9999.99,14,1,1,2,0.05,1.0,0.005,0.001,
4,2,16,1.0216365171201263e-05,9999.99,14,1,1,2,0.05,1.0,0.005,0.001,
5,2,16,0.02373490186297244,9999.99,14,1,1,2,0.05,1.0,0.005,0.001,
6,2,16,0.041508095483718,9999.99,14,1,1,2,0.05,1.0,0.005,0.001,
7,2,16,0.13308930683256168,9999.99,14,1,1,2,0.05,1.0,0.005,0.001,
8,2,16,0.22057994989540358,9999.99,14,1,1,2,0.05,1.0,0.005,0.001,
9,2,16,0.023362623222430913,9999.99,14,1,1,2,0.05,1.0,0.005,0.001,
1,2,16,0.13207356115433216,9999.99,16,1,1,2,0.05,1.0,0.005,0.001,
2,2,16,0.17493675640848982,9999.99,16,1,1,2,0.05,1.0,0.005,0.001,
3,2,16,0.024455096706435316,9999.99,16,1,1,2,0.05,1.0,0.005,0.001,
4,2,16,1.021245441857664e-05,9999.99,16,1,1,2,0.05,1.0,0.005,0.001,
5,2,16,0.023995601776834814,9999.99,16,1,1,2,0.05,1.0,0.005,0.001,
6,2,16,0.059944569383027904,9999.99,16,1,1,2,0.05,1.0,0.005,0.001,
7,2,16,0.03675353301171552,9999.99,16,1,1,2,0.05,1.0,0.005,0.001,
8,2,16,0.2115796545489669,9999.99,16,1,1,2,0.05,1.0,0.005,0.001,
9,2,16,0.023609454803451904,9999.99,16,1,1,2,0.05,1.0,0.005,0.001,
1,2,16,0.7047979076624691,9999.99,2,1,2,4,0.05,1.0,0.005,0.001,
2,2,16,0.7112599496033405,9999.99,2,1,2,4,0.05,1.0,0.005,0.001,
3,2,16,0.0020687348719606283,9999.99,2,1,2,4,0.05,1.0,0.005,0.001,
4,2,16,1.10262074381505e-05,9999.99,2,1,2,4,0.05,1.0,0.005,0.001,
5,2,16,0.0016292724691271913,9999.99,2,1,2,4,0.05,1.0,0.005,0.001,
6,2,16,0.5211721818466557,9999.99,2,1,2,4,0.05,1.0,0.005,0.001,
7,2,16,0.022851726366327495,9999.99,2,1,2,4,0.05,1.0,0.005,0.001,
8,2,16,0.6562349074470777,9999.99,2,1,2,4,0.05,1.0,0.005,0.001,
9,2,16,0.0033834556278234743,9999.99,2,1,2,4,0.05,1.0,0.005,0.001,
1,2,16,0.716893178019114,9999.99,4,1,2,4,0.05,1.0,0.005,0.001,
2,2,16,0.7179010357264556,9999.99,4,1,2,4,0.05,1.0,0.005,0.001,
3,2,16,0.004873633823032499,9999.99,4,1,2,4,0.05,1.0,0.005,0.001,
4,2,16,1.1025088662423739e-05,9999.99,4,1,2,4,0.05,1.0,0.005,0.001,
5,2,16,0.006295526624293844,9999.99,4,1,2,4,0.05,1.0,0.005,0.001,
6,2,16,0.13109668771965008,9999.99,4,1,2,4,0.05,1.0,0.005,0.001,
7,2,16,0.024665720263526685,9999.99,4,1,2,4,0.05,1.0,0.005,0.001,
8,2,16,0.6857540401671633,9999.99,4,1,2,4,0.05,1.0,0.005,0.001,
9,2,16,0.009506519766534346,9999.99,4,1,2,4,0.05,1.0,0.005,0.001,
1,2,16,0.7139719457117727,9999.99,6,1,2,4,0.05,1.0,0.005,0.001,
2,2,16,0.7165713980891151,9999.99,6,1,2,4,0.05,1.0,0.005,0.001,
3,2,16,0.010970335596041193,9999.99,6,1,2,4,0.05,1.0,0.005,0.001,
4,2,16,1.1024129445454083e-05,9999.99,6,1,2,4,0.05,1.0,0.005,0.001,
5,2,16,0.011240251385000722,9999.99,6,1,2,4,0.05,1.0,0.005,0.001,
6,2,16,0.021373771929790165,9999.99,6,1,2,4,0.05,1.0,0.005,0.001,
7,2,16,0.04850507031036707,9999.99,6,1,2,4,0.05,1.0,0.005,0.001,
8,2,16,0.7165533799502177,9999.99,6,1,2,4,0.05,1.0,0.005,0.001,
9,2,16,0.014193832461380706,9999.99,6,1,2,4,0.05,1.0,0.005,0.001,
1,2,16,0.7083914497923643,7622.89,8,1,2,4,0.05,1.0,0.005,0.001,
2,2,16,0.7001304785511758,5000.34,8,1,2,4,0.05,1.0,0.005,0.001,
3,2,16,0.015974415007534288,9999.99,8,1,2,4,0.05,1.0,0.005,0.001,
4,2,16,1.1023350168886112e-05,9999.99,8,1,2,4,0.05,1.0,0.005,0.001,
5,2,16,0.017139268826555677,9999.99,8,1,2,4,0.05,1.0,0.005,0.001,
6,2,16,0.7047254478810168,9893.85,8,1,2,4,0.05,1.0,0.005,0.001,
7,2,16,0.7077677574854732,7059.45,8,1,2,4,0.05,1.0,0.005,0.001,
8,2,16,0.7030021405031605,4958.81,8,1,2,4,0.05,1.0,0.005,0.001,
9,2,16,0.01747087011425664,9999.99,8,1,2,4,0.05,1.0,0.005,0.001,
1,2,16,0.6806320891663156,6956.7300000000005,10,1,2,4,0.05,1.0,0.005,0.001,
2,2,16,0.6968832205358103,3252.7200000000003,10,1,2,4,0.05,1.0,0.005,0.001,
3,2,16,0.021050724774941104,9999.99,10,1,2,4,0.05,1.0,0.005,0.001,
4,2,16,1.102279683555234e-05,9999.99,10,1,2,4,0.05,1.0,0.005,0.001,
5,2,16,0.2740091960881264,9999.99,10,1,2,4,0.05,1.0,0.005,0.001,
6,2,16,0.7140009618811411,6123.66,10,1,2,4,0.05,1.0,0.005,0.001,
7,2,16,0.6702094969542725,8709.83,10,1,2,4,0.05,1.0,0.005,0.001,
8,2,16,0.6732565569211479,3125.31,10,1,2,4,0.05,1.0,0.005,0.001,
9,2,16,0.019681750994335147,9999.99,10,1,2,4,0.05,1.0,0.005,0.001,
1,2,16,0.6227981405420675,5298.56,12,1,2,4,0.05,1.0,0.005,0.001,
2,2,16,0.6714874439769127,3024.2200000000003,12,1,2,4,0.05,1.0,0.005,0.001,
3,2,16,0.055152409387281595,9999.99,12,1,2,4,0.05,1.0,0.005,0.001,
4,2,16,1.1022571562445406e-05,9999.99,12,1,2,4,0.05,1.0,0.005,0.001,
5,2,16,0.4904488073388598,9999.99,12,1,2,4,0.05,1.0,0.005,0.001,
6,2,16,0.6782764985395388,4496.28,12,1,2,4,0.05,1.0,0.005,0.001,
7,2,16,0.659461465763868,9713.34,12,1,2,4,0.05,1.0,0.005,0.001,
8,2,16,0.6816601078705583,3293.51,12,1,2,4,0.05,1.0,0.005,0.001,
9,2,16,0.021166874535776703,9999.99,12,1,2,4,0.05,1.0,0.005,0.001,
1,2,16,0.6204808070575767,4356.7300000000005,14,1,2,4,0.05,1.0,0.005,0.001,
2,2,16,0.6501484459000311,2859.04,14,1,2,4,0.05,1.0,0.005,0.001,
3,2,16,0.08407897785174338,9999.99,14,1,2,4,0.05,1.0,0.005,0.001,
4,2,16,1.1022898816786295e-05,9999.99,14,1,2,4,0.05,1.0,0.005,0.001,
5,2,16,0.6778625173034151,9754.85,14,1,2,4,0.05,1.0,0.005,0.001,
6,2,16,0.6860044961813423,4711.36,14,1,2,4,0.05,1.0,0.005,0.001,
7,2,16,0.6437967125659698,3855.71,14,1,2,4,0.05,1.0,0.005,0.001,
8,2,16,0.6294300897869395,3231.61,14,1,2,4,0.05,1.0,0.005,0.001,
9,2,16,0.6599916261875329,9139.69,14,1,2,4,0.05,1.0,0.005,0.001,
1,2,16,0.5485609627351394,3806.4900000000002,16,1,2,4,0.05,1.0,0.005,0.001,
2,2,16,0.6485116500713356,2857.11,16,1,2,4,0.05,1.0,0.005,0.001,
3,2,16,0.0832783790412859,9999.99,16,1,2,4,0.05,1.0,0.005,0.001,
4,2,16,1.1024269115782344e-05,9999.99,16,1,2,4,0.05,1.0,0.005,0.001,
5,2,16,0.6237645597575103,9322.960000000001,16,1,2,4,0.05,1.0,0.005,0.001,
6,2,16,0.6222784121368606,3074.4500000000003,16,1,2,4,0.05,1.0,0.005,0.001,
7,2,16,0.6175975596701163,3673.6,16,1,2,4,0.05,1.0,0.005,0.001,
8,2,16,0.5163786464542934,3803.91,16,1,2,4,0.05,1.0,0.005,0.001,
9,2,16,0.6273111243646393,9448.17,16,1,2,4,0.05,1.0,0.005,0.001,
1,2,16,0.7041351236009451,9999.99,2,1,3,6,0.05,1.0,0.005,0.001,
2,2,16,0.6974072060345289,9999.99,2,1,3,6,0.05,1.0,0.005,0.001,
3,2,16,0.00823815466535251,9999.99,2,1,3,6,0.05,1.0,0.005,0.001,
4,2,16,1.1926864175060373e-05,9999.99,2,1,3,6,0.05,1.0,0.005,0.001,
5,2,16,0.0007512071665681981,9999.99,2,1,3,6,0.05,1.0,0.005,0.001,
6,2,16,0.02712917425619149,9999.99,2,1,3,6,0.05,1.0,0.005,0.001,
7,2,16,0.6822844381147293,9999.99,2,1,3,6,0.05,1.0,0.005,0.001,
8,2,16,0.6684448454004597,9999.99,2,1,3,6,0.05,1.0,0.005,0.001,
9,2,16,0.0027865529555218356,9999.99,2,1,3,6,0.05,1.0,0.005,0.001,
1,2,16,0.7201867535519652,9999.99,4,1,3,6,0.05,1.0,0.005,0.001,
2,2,16,0.7110913840166814,9999.99,4,1,3,6,0.05,1.0,0.005,0.001,
3,2,16,0.003255823650328974,9999.99,4,1,3,6,0.05,1.0,0.005,0.001,
4,2,16,1.1940319877017543e-05,9999.99,4,1,3,6,0.05,1.0,0.005,0.001,
5,2,16,0.004538917177317297,9999.99,4,1,3,6,0.05,1.0,0.005,0.001,
6,2,16,0.7017385154338383,9999.99,4,1,3,6,0.05,1.0,0.005,0.001,
7,2,16,0.046353261344777096,9999.99,4,1,3,6,0.05,1.0,0.005,0.001,
8,2,16,0.7104119161892289,9999.99,4,1,3,6,0.05,1.0,0.005,0.001,
9,2,16,0.0025591755863561146,9999.99,4,1,3,6,0.05,1.0,0.005,0.001,
1,2,16,0.6974001571775632,9999.99,6,1,3,6,0.05,1.0,0.005,0.001,
2,2,16,0.6929913489402861,9999.99,6,1,3,6,0.05,1.0,0.005,0.001,
3,2,16,0.0017130803602325763,9999.99,6,1,3,6,0.05,1.0,0.005,0.001,
4,2,16,1.1954178393516254e-05,9999.99,6,1,3,6,0.05,1.0,0.005,0.001,
5,2,16,0.008865126214468182,9999.99,6,1,3,6,0.05,1.0,0.005,0.001,
