seed,nnsize,wbrange,rl_nn_b_fit,time_passed,max_flux_amp,init_flux_amp,flux_period_min,flux_period_max,flux_conv_rate,learn_rate,performance_bias,performance_update_rate,
0,2,16,0.024549422909305004,9999.99,16,1,1,2,0.1,1.0,0.005,0.001,
0,2,16,0.09614638511279949,9999.99,16,1,1,2,0.09,1.0,0.005,0.001,
0,2,16,0.16612845759763623,9999.99,16,1,1,2,0.08,1.0,0.005,0.001,
0,2,16,0.08285702944765275,9999.99,16,1,1,2,0.07,1.0,0.005,0.001,
0,2,16,0.11917426619548403,9999.99,16,1,1,2,0.06,1.0,0.005,0.001,
0,2,16,0.07847056107919904,9999.99,16,1,1,2,0.05,1.0,0.005,0.001,
0,2,16,0.04762991196646308,9999.99,16,1,1,2,0.04,1.0,0.005,0.001,
0,2,16,0.024289861781093162,9999.99,16,1,1,2,0.03,1.0,0.005,0.001,
0,2,16,0.024238383221567607,9999.99,16,1,1,2,0.02,1.0,0.005,0.001,
0,2,16,0.024160677501877007,9999.99,16,1,1,2,0.01,1.0,0.005,0.001,
0,2,16,0.2298643412294549,3802.03,16,1,2,4,0.1,1.0,0.005,0.001,
0,2,16,0.2805831877182791,4595.2,16,1,2,4,0.09,1.0,0.005,0.001,
0,2,16,0.5341183198054715,4473.88,16,1,2,4,0.08,1.0,0.005,0.001,
0,2,16,0.5377772921730968,5454.53,16,1,2,4,0.07,1.0,0.005,0.001,
0,2,16,0.5030992583656253,4575.02,16,1,2,4,0.06,1.0,0.005,0.001,
0,2,16,0.6722366649129584,4457.64,16,1,2,4,0.05,1.0,0.005,0.001,
0,2,16,0.6949468212143906,5455.31,16,1,2,4,0.04,1.0,0.005,0.001,
0,2,16,0.6886331660420949,6329.27,16,1,2,4,0.03,1.0,0.005,0.001,
0,2,16,0.025019477680288955,9999.99,16,1,2,4,0.02,1.0,0.005,0.001,
0,2,16,0.024843661988966897,9999.99,16,1,2,4,0.01,1.0,0.005,0.001,
0,2,16,0.6457672962444932,1669.71,16,1,3,6,0.1,1.0,0.005,0.001,
0,2,16,0.6435689643346965,1670.88,16,1,3,6,0.09,1.0,0.005,0.001,
0,2,16,0.6681443147429306,3344.2200000000003,16,1,3,6,0.08,1.0,0.005,0.001,
0,2,16,0.6864258194049584,2668.77,16,1,3,6,0.07,1.0,0.005,0.001,
0,2,16,0.6743439140005236,3530.55,16,1,3,6,0.06,1.0,0.005,0.001,
0,2,16,0.6174297878330187,8977.39,16,1,3,6,0.05,1.0,0.005,0.001,
0,2,16,0.6384992440822248,8871.83,16,1,3,6,0.04,1.0,0.005,0.001,
0,2,16,0.6588766190471558,5316.66,16,1,3,6,0.03,1.0,0.005,0.001,
0,2,16,0.0018016449183022906,9999.99,16,1,3,6,0.02,1.0,0.005,0.001,
0,2,16,0.02262575906601286,9999.99,16,1,3,6,0.01,1.0,0.005,0.001,
0,2,16,0.6716389105904137,4273.89,16,1,4,8,0.1,1.0,0.005,0.001,
0,2,16,0.7067830526336609,4027.51,16,1,4,8,0.09,1.0,0.005,0.001,
0,2,16,0.6584556344459745,3315.19,16,1,4,8,0.08,1.0,0.005,0.001,
0,2,16,0.5958733391967772,3381.32,16,1,4,8,0.07,1.0,0.005,0.001,
0,2,16,0.6719043118444998,4016.9900000000002,16,1,4,8,0.06,1.0,0.005,0.001,
0,2,16,0.6251522337191343,3280.33,16,1,4,8,0.05,1.0,0.005,0.001,
0,2,16,0.6691466051096224,5687.42,16,1,4,8,0.04,1.0,0.005,0.001,
0,2,16,0.6401263471611628,8773.99,16,1,4,8,0.03,1.0,0.005,0.001,
0,2,16,0.701160655597576,9999.99,16,1,4,8,0.02,1.0,0.005,0.001,
0,2,16,0.6227773559876663,9999.99,16,1,4,8,0.01,1.0,0.005,0.001,
0,2,16,0.4970668942899186,289.93,16,1,5,10,0.1,1.0,0.005,0.001,
0,2,16,0.5703006968295378,4851.900000000001,16,1,5,10,0.09,1.0,0.005,0.001,
0,2,16,0.6949154786303156,5157.89,16,1,5,10,0.08,1.0,0.005,0.001,
0,2,16,0.6661662466500087,4839.28,16,1,5,10,0.07,1.0,0.005,0.001,
0,2,16,0.6648468144239913,3968.78,16,1,5,10,0.06,1.0,0.005,0.001,
0,2,16,0.6652681433337772,4711.46,16,1,5,10,0.05,1.0,0.005,0.001,
0,2,16,0.7012548040750954,3220.59,16,1,5,10,0.04,1.0,0.005,0.001,
0,2,16,0.6285050613327491,8180.96,16,1,5,10,0.03,1.0,0.005,0.001,
0,2,16,0.6879171621227456,9999.99,16,1,5,10,0.02,1.0,0.005,0.001,
0,2,16,0.7095205353080257,9999.99,16,1,5,10,0.01,1.0,0.005,0.001,
0,2,16,0.5800177162100771,828.11,16,1,6,12,0.1,1.0,0.005,0.001,
0,2,16,0.5514307839285542,1681.92,16,1,6,12,0.09,1.0,0.005,0.001,
0,2,16,0.6454279499043396,647.44,16,1,6,12,0.08,1.0,0.005,0.001,
0,2,16,0.604934907367369,1577.19,16,1,6,12,0.07,1.0,0.005,0.001,
0,2,16,0.6470788436288928,1910.06,16,1,6,12,0.06,1.0,0.005,0.001,
0,2,16,0.62613314708524,3288.4500000000003,16,1,6,12,0.05,1.0,0.005,0.001,
0,2,16,0.56739851817837,4455.79,16,1,6,12,0.04,1.0,0.005,0.001,
0,2,16,0.6510220314021322,9624.18,16,1,6,12,0.03,1.0,0.005,0.001,
0,2,16,0.6740253683466915,9999.99,16,1,6,12,0.02,1.0,0.005,0.001,
0,2,16,0.02640352109879477,9999.99,16,1,6,12,0.01,1.0,0.005,0.001,
0,2,16,0.6694183619055702,1222.42,16,1,7,14,0.1,1.0,0.005,0.001,
0,2,16,0.4443343138313983,1792.17,16,1,7,14,0.09,1.0,0.005,0.001,
0,2,16,0.6223688746806328,2781.4,16,1,7,14,0.08,1.0,0.005,0.001,
0,2,16,0.6252888164422645,1668.53,16,1,7,14,0.07,1.0,0.005,0.001,
0,2,16,0.49890839973697226,1800.15,16,1,7,14,0.06,1.0,0.005,0.001,
0,2,16,0.6150839793811288,5483.39,16,1,7,14,0.05,1.0,0.005,0.001,
0,2,16,0.6932809332640104,5075.77,16,1,7,14,0.04,1.0,0.005,0.001,
0,2,16,0.039329930479918715,9999.99,16,1,7,14,0.03,1.0,0.005,0.001,
0,2,16,0.03544231540429161,9999.99,16,1,7,14,0.02,1.0,0.005,0.001,
0,2,16,0.0298022883768988,9999.99,16,1,7,14,0.01,1.0,0.005,0.001,
0,2,16,0.6018866548155296,2669.67,16,1,8,16,0.1,1.0,0.005,0.001,
0,2,16,0.5693093770855563,1740.76,16,1,8,16,0.09,1.0,0.005,0.001,
0,2,16,0.5123953273789902,3113.54,16,1,8,16,0.08,1.0,0.005,0.001,
0,2,16,0.5811079193235498,1123.47,16,1,8,16,0.07,1.0,0.005,0.001,
0,2,16,0.5504109884402215,6521.1,16,1,8,16,0.06,1.0,0.005,0.001,
0,2,16,0.6594666902232573,4265.64,16,1,8,16,0.05,1.0,0.005,0.001,
