seed,nnsize,wbrange,rl_nn_b_fit,time_passed,max_flux_amp,init_flux_amp,flux_period_min,flux_period_max,flux_conv_rate,learn_rate,performance_bias,performance_update_rate,
0,10,16,0.6564693322226105,19999.99,16,1,4,8,0.03,1.0,0.005,0.001,
1,10,16,0.571530199812937,19999.99,16,1,4,8,0.03,1.0,0.005,0.001,
2,10,16,0.6110477100914169,19999.99,16,1,4,8,0.03,1.0,0.005,0.001,
3,10,16,0.6263367816874494,19999.99,16,1,4,8,0.03,1.0,0.005,0.001,
4,10,16,0.6013082269416432,19999.99,16,1,4,8,0.03,1.0,0.005,0.001,
5,10,16,0.6864064634928034,19999.99,16,1,4,8,0.03,1.0,0.005,0.001,
6,10,16,0.6518547030881857,19999.99,16,1,4,8,0.03,1.0,0.005,0.001,
7,10,16,0.6795101443395768,19999.99,16,1,4,8,0.03,1.0,0.005,0.001,
8,10,16,0.7483877088193043,19999.99,16,1,4,8,0.03,1.0,0.005,0.001,
9,10,16,0.6144620639035532,19999.99,16,1,4,8,0.03,1.0,0.005,0.001,
0,10,16,0.9102659019351318,19999.99,16,1,4,8,0.03,1.0,0.007,0.001,
1,10,16,0.8085175645838782,19999.99,16,1,4,8,0.03,1.0,0.007,0.001,
2,10,16,0.9157216066140649,19999.99,16,1,4,8,0.03,1.0,0.007,0.001,
3,10,16,0.8321565254402383,19999.99,16,1,4,8,0.03,1.0,0.007,0.001,
4,10,16,0.8353992486684371,19999.99,16,1,4,8,0.03,1.0,0.007,0.001,
5,10,16,0.884451570851992,19999.99,16,1,4,8,0.03,1.0,0.007,0.001,
6,10,16,0.8823632105168132,19999.99,16,1,4,8,0.03,1.0,0.007,0.001,
7,10,16,0.8093904772098005,19999.99,16,1,4,8,0.03,1.0,0.007,0.001,
8,10,16,0.9686713653115501,19999.99,16,1,4,8,0.03,1.0,0.007,0.001,
9,10,16,0.8912091816029759,19999.99,16,1,4,8,0.03,1.0,0.007,0.001,
0,10,16,1.1022103821895253,19999.99,16,1,4,8,0.03,1.0,0.009,0.001,
1,10,16,0.9930791206301336,19999.99,16,1,4,8,0.03,1.0,0.009,0.001,
2,10,16,1.025495842824053,19999.99,16,1,4,8,0.03,1.0,0.009,0.001,
3,10,16,0.9995128282784014,19999.99,16,1,4,8,0.03,1.0,0.009,0.001,
4,10,16,1.0981469055060797,19999.99,16,1,4,8,0.03,1.0,0.009,0.001,
