seed,nnsize,wbrange,rl_nn_b_fit,time_passed,max_flux_amp,init_flux_amp,flux_period_min,flux_period_max,flux_conv_rate,learn_rate,performance_bias,performance_update_rate,
0,2,16,0.0888198374053438,1999.99,16,1,4,8,0.2,1.0,0.005,0.001,
1,2,16,0.04551102997725098,1999.99,16,1,4,8,0.2,1.0,0.005,0.001,
2,2,16,0.05699003245986915,1999.99,16,1,4,8,0.2,1.0,0.005,0.001,
3,2,16,0.025615368861201443,1999.99,16,1,4,8,0.2,1.0,0.005,0.001,
4,2,16,0.046331474838221504,1999.99,16,1,4,8,0.2,1.0,0.005,0.001,
0,2,16,0.07105290261038377,1999.99,16,1,4,8,0.2,1.0,0.005,0.0025,
1,2,16,0.09481548860288823,1999.99,16,1,4,8,0.2,1.0,0.005,0.0025,
2,2,16,0.09007845551184282,1999.99,16,1,4,8,0.2,1.0,0.005,0.0025,
3,2,16,0.045558317807753906,1999.99,16,1,4,8,0.2,1.0,0.005,0.0025,
4,2,16,1.9063268187285524e-05,1999.99,16,1,4,8,0.2,1.0,0.005,0.0025,
0,2,16,0.05131570722442526,1999.99,16,1,4,8,0.2,1.0,0.005,0.005,
0,2,16,0.06661721440984833,1999.99,16,1,4,8,0.05,1.0,0.005,0.001,
1,2,16,0.08377535299187243,1999.99,16,1,4,8,0.05,1.0,0.005,0.001,
2,2,16,0.6799407085530319,1999.99,16,1,4,8,0.05,1.0,0.005,0.001,
3,2,16,0.0035038561189041986,1999.99,16,1,4,8,0.05,1.0,0.005,0.001,
4,2,16,1.351636303408412e-05,1999.99,16,1,4,8,0.05,1.0,0.005,0.001,
0,2,16,0.0861360746303214,1999.99,16,1,4,8,0.05,1.0,0.01,0.001,
1,2,16,0.06513763988138957,1999.99,16,1,4,8,0.05,1.0,0.01,0.001,
2,2,16,0.06047756886778997,1999.99,16,1,4,8,0.05,1.0,0.01,0.001,
3,2,16,0.01505844720322857,1999.99,16,1,4,8,0.05,1.0,0.01,0.001,
4,2,16,0.07583767782617828,1999.99,16,1,4,8,0.05,1.0,0.01,0.001,
0,2,16,0.08535889759603285,1999.99,16,1,4,8,0.05,1.0,0.02,0.001,
1,2,16,0.05300246557516412,1999.99,16,1,4,8,0.05,1.0,0.02,0.001,
2,2,16,0.032557961221924156,1999.99,16,1,4,8,0.05,1.0,0.02,0.001,
3,2,16,0.06573942332672168,1999.99,16,1,4,8,0.05,1.0,0.02,0.001,
4,2,16,0.03811141994540751,1999.99,16,1,4,8,0.05,1.0,0.02,0.001,
0,3,16,0.2897785130049499,1999.99,16,1,4,8,0.05,1.0,0.005,0.001,
1,3,16,0.05415614781569705,1999.99,16,1,4,8,0.05,1.0,0.005,0.001,
2,3,16,0.7252458143602616,1999.99,16,1,4,8,0.05,1.0,0.005,0.001,
3,3,16,0.6913893997564329,1999.99,16,1,4,8,0.05,1.0,0.005,0.001,
4,3,16,0.6035478491420335,1999.99,16,1,4,8,0.05,1.0,0.005,0.001,
0,3,16,0.18339906977799536,1999.99,16,1,4,8,0.05,1.0,0.01,0.001,
1,3,16,0.10745855563054085,1999.99,16,1,4,8,0.05,1.0,0.01,0.001,
2,3,16,0.22475883213730102,1999.99,16,1,4,8,0.05,1.0,0.01,0.001,
3,3,16,0.06324678251826112,1999.99,16,1,4,8,0.05,1.0,0.01,0.001,
4,3,16,0.1336826346492531,1999.99,16,1,4,8,0.05,1.0,0.01,0.001,
0,3,16,0.009383302376274608,1999.99,16,1,4,8,0.05,1.0,0.02,0.001,
1,3,16,0.06348285621748005,1999.99,16,1,4,8,0.05,1.0,0.02,0.001,
2,3,16,0.08253729470139151,1999.99,16,1,4,8,0.05,1.0,0.02,0.001,
3,3,16,0.07666404568603946,1999.99,16,1,4,8,0.05,1.0,0.02,0.001,
4,3,16,0.05268566732754397,1999.99,16,1,4,8,0.05,1.0,0.02,0.001,
0,4,16,0.5551005458971536,1999.99,16,1,4,8,0.05,1.0,0.005,0.001,
1,4,16,0.011306272588983188,1999.99,16,1,4,8,0.05,1.0,0.005,0.001,
2,4,16,0.053232303246405,1999.99,16,1,4,8,0.05,1.0,0.005,0.001,
3,4,16,0.10073953450621967,1999.99,16,1,4,8,0.05,1.0,0.005,0.001,
4,4,16,0.5830757707183805,1999.99,16,1,4,8,0.05,1.0,0.005,0.001,
0,4,16,0.13792821721576734,1999.99,16,1,4,8,0.05,1.0,0.01,0.001,
1,4,16,0.263769207945083,1999.99,16,1,4,8,0.05,1.0,0.01,0.001,
2,4,16,0.11845898048005962,1999.99,16,1,4,8,0.05,1.0,0.01,0.001,
3,4,16,0.13354825074198118,1999.99,16,1,4,8,0.05,1.0,0.01,0.001,
4,4,16,0.05914845364640418,1999.99,16,1,4,8,0.05,1.0,0.01,0.001,
0,4,16,0.04879036413072475,1999.99,16,1,4,8,0.05,1.0,0.02,0.001,
1,4,16,0.08660429356666596,1999.99,16,1,4,8,0.05,1.0,0.02,0.001,
2,4,16,0.017108215317987306,1999.99,16,1,4,8,0.05,1.0,0.02,0.001,
3,4,16,0.09041477847424231,1999.99,16,1,4,8,0.05,1.0,0.02,0.001,
4,4,16,0.06457667651687231,1999.99,16,1,4,8,0.05,1.0,0.02,0.001,
0,5,16,0.6106769566929022,1999.99,16,1,4,8,0.05,1.0,0.005,0.001,
1,5,16,0.6384885943694363,1999.99,16,1,4,8,0.05,1.0,0.005,0.001,
2,5,16,0.5392900079646401,1999.99,16,1,4,8,0.05,1.0,0.005,0.001,
3,5,16,0.509072790658035,1999.99,16,1,4,8,0.05,1.0,0.005,0.001,
4,5,16,0.5575801293977342,1999.99,16,1,4,8,0.05,1.0,0.005,0.001,
0,5,16,0.09991374078571577,1999.99,16,1,4,8,0.05,1.0,0.01,0.001,
1,5,16,0.2642915648958494,1999.99,16,1,4,8,0.05,1.0,0.01,0.001,
2,5,16,0.2234831844187542,1999.99,16,1,4,8,0.05,1.0,0.01,0.001,
3,5,16,0.12526202472558673,1999.99,16,1,4,8,0.05,1.0,0.01,0.001,
4,5,16,0.11732074648591832,1999.99,16,1,4,8,0.05,1.0,0.01,0.001,
0,5,16,0.07033833299392105,1999.99,16,1,4,8,0.05,1.0,0.02,0.001,
1,5,16,0.027283507664959673,1999.99,16,1,4,8,0.05,1.0,0.02,0.001,
2,5,16,0.07747835395903076,1999.99,16,1,4,8,0.05,1.0,0.02,0.001,
3,5,16,0.027204163685105687,1999.99,16,1,4,8,0.05,1.0,0.02,0.001,
4,5,16,0.030845866309834657,1999.99,16,1,4,8,0.05,1.0,0.02,0.001,
0,6,16,0.5585989661227045,1999.99,16,1,4,8,0.05,1.0,0.005,0.001,
1,6,16,0.5816260332725391,1999.99,16,1,4,8,0.05,1.0,0.005,0.001,
2,6,16,0.6477814236655159,1999.99,16,1,4,8,0.05,1.0,0.005,0.001,
3,6,16,0.5814740650316212,1999.99,16,1,4,8,0.05,1.0,0.005,0.001,
4,6,16,0.5745418903832937,1999.99,16,1,4,8,0.05,1.0,0.005,0.001,
0,6,16,0.13644818046864493,1999.99,16,1,4,8,0.05,1.0,0.01,0.001,
1,6,16,0.065510263652015,1999.99,16,1,4,8,0.05,1.0,0.01,0.001,
2,6,16,0.09019534058913804,1999.99,16,1,4,8,0.05,1.0,0.01,0.001,
3,6,16,0.07914760006367107,1999.99,16,1,4,8,0.05,1.0,0.01,0.001,
4,6,16,0.1347313583149629,1999.99,16,1,4,8,0.05,1.0,0.01,0.001,
0,6,16,0.043922753886940044,1999.99,16,1,4,8,0.05,1.0,0.02,0.001,
1,6,16,0.07585156015603986,1999.99,16,1,4,8,0.05,1.0,0.02,0.001,
2,6,16,0.15970740607478912,1999.99,16,1,4,8,0.05,1.0,0.02,0.001,
3,6,16,0.003696604961151685,1999.99,16,1,4,8,0.05,1.0,0.02,0.001,
4,6,16,0.03852734313588926,1999.99,16,1,4,8,0.05,1.0,0.02,0.001,
0,7,16,0.18092559974153483,1999.99,16,1,4,8,0.05,1.0,0.005,0.001,
1,7,16,0.5735321893279434,1999.99,16,1,4,8,0.05,1.0,0.005,0.001,
2,7,16,0.5142299886789767,1999.99,16,1,4,8,0.05,1.0,0.005,0.001,
3,7,16,0.12554862230808644,1999.99,16,1,4,8,0.05,1.0,0.005,0.001,
4,7,16,0.5005621587609932,1999.99,16,1,4,8,0.05,1.0,0.005,0.001,
0,7,16,0.38938946861752094,1999.99,16,1,4,8,0.05,1.0,0.01,0.001,
1,7,16,0.06557858094009655,1999.99,16,1,4,8,0.05,1.0,0.01,0.001,
2,7,16,0.06578760487703672,1999.99,16,1,4,8,0.05,1.0,0.01,0.001,
3,7,16,0.14805403125562722,1999.99,16,1,4,8,0.05,1.0,0.01,0.001,
4,7,16,0.0738514425061055,1999.99,16,1,4,8,0.05,1.0,0.01,0.001,
0,7,16,0.049777063879068315,1999.99,16,1,4,8,0.05,1.0,0.02,0.001,
1,7,16,0.059397885099020956,1999.99,16,1,4,8,0.05,1.0,0.02,0.001,
2,7,16,0.059511735246580225,1999.99,16,1,4,8,0.05,1.0,0.02,0.001,
3,7,16,0.05451669856412692,1999.99,16,1,4,8,0.05,1.0,0.02,0.001,
4,7,16,0.055303437060102635,1999.99,16,1,4,8,0.05,1.0,0.02,0.001,
0,8,16,0.5893873793829931,1999.99,16,1,4,8,0.05,1.0,0.005,0.001,
1,8,16,0.5779056944271506,1999.99,16,1,4,8,0.05,1.0,0.005,0.001,
2,8,16,0.6303571067250586,1999.99,16,1,4,8,0.05,1.0,0.005,0.001,
