seed,nnsize,wbrange,rl_nn_b_fit,time_passed,max_flux_amp,init_flux_amp,flux_period_min,flux_period_max,flux_conv_rate,learn_rate,performance_bias,performance_update_rate,
0,2,16,0.7194125378033258,9999.99,8,1,4,8,0.025,1.0,0.005,0.001,
1,2,16,0.707852756352461,9999.99,8,1,4,8,0.025,1.0,0.005,0.001,
2,2,16,0.7076081271050121,9999.99,8,1,4,8,0.025,1.0,0.005,0.001,
3,2,16,0.0054398801417156,9999.99,8,1,4,8,0.025,1.0,0.005,0.001,
4,2,16,1.3121807875028167e-05,9999.99,8,1,4,8,0.025,1.0,0.005,0.001,
5,2,16,0.003586023187696575,9999.99,8,1,4,8,0.025,1.0,0.005,0.001,
6,2,16,0.6946064224263834,9999.99,8,1,4,8,0.025,1.0,0.005,0.001,
7,2,16,0.7116186282000136,9999.99,8,1,4,8,0.025,1.0,0.005,0.001,
8,2,16,0.7091143568905316,9999.99,8,1,4,8,0.025,1.0,0.005,0.001,
9,2,16,0.00937423403716453,9999.99,8,1,4,8,0.025,1.0,0.005,0.001,
0,2,16,0.6602116296250601,3891.2200000000003,16,1,4,8,0.025,1.0,0.005,0.001,
1,2,16,0.7000121014717106,2527.89,16,1,4,8,0.025,1.0,0.005,0.001,
2,2,16,0.6353367693154279,2421.39,16,1,4,8,0.025,1.0,0.005,0.001,
3,2,16,0.003086416593612855,9999.99,16,1,4,8,0.025,1.0,0.005,0.001,
4,2,16,1.3249145169146636e-05,9999.99,16,1,4,8,0.025,1.0,0.005,0.001,
5,2,16,0.0031659786524949407,9999.99,16,1,4,8,0.025,1.0,0.005,0.001,
6,2,16,0.6862834708962706,6993.25,16,1,4,8,0.025,1.0,0.005,0.001,
7,2,16,0.6705894180439413,4445.84,16,1,4,8,0.025,1.0,0.005,0.001,
8,2,16,0.6602500989549231,2615.58,16,1,4,8,0.025,1.0,0.005,0.001,
9,2,16,0.004564114316559046,9999.99,16,1,4,8,0.025,1.0,0.005,0.001,
0,2,16,0.6602116296250601,3891.2200000000003,8,1,4,8,0.05,1.0,0.005,0.001,
1,2,16,0.7000121014717106,2527.89,8,1,4,8,0.05,1.0,0.005,0.001,
2,2,16,0.6353367693154279,2421.39,8,1,4,8,0.05,1.0,0.005,0.001,
3,2,16,0.003086416593612855,9999.99,8,1,4,8,0.05,1.0,0.005,0.001,
4,2,16,1.3249145169146636e-05,9999.99,8,1,4,8,0.05,1.0,0.005,0.001,
5,2,16,0.0031659786524949407,9999.99,8,1,4,8,0.05,1.0,0.005,0.001,
6,2,16,0.6862834708962706,6993.25,8,1,4,8,0.05,1.0,0.005,0.001,
7,2,16,0.6705894180439413,4445.84,8,1,4,8,0.05,1.0,0.005,0.001,
8,2,16,0.6602500989549231,2615.58,8,1,4,8,0.05,1.0,0.005,0.001,
9,2,16,0.004564114316559046,9999.99,8,1,4,8,0.05,1.0,0.005,0.001,
0,2,16,0.6251522337191343,3280.33,16,1,4,8,0.05,1.0,0.005,0.001,
1,2,16,0.5716910199859447,2517.71,16,1,4,8,0.05,1.0,0.005,0.001,
2,2,16,0.6775922673539487,1638.7,16,1,4,8,0.05,1.0,0.005,0.001,
3,2,16,0.64712142451927,9408.69,16,1,4,8,0.05,1.0,0.005,0.001,
4,2,16,1.3524915978592547e-05,9999.99,16,1,4,8,0.05,1.0,0.005,0.001,
5,2,16,0.6423221825871481,4127.97,16,1,4,8,0.05,1.0,0.005,0.001,
6,2,16,0.6000514278157285,875.52,16,1,4,8,0.05,1.0,0.005,0.001,
7,2,16,0.6903828599918513,2528.89,16,1,4,8,0.05,1.0,0.005,0.001,
8,2,16,0.671430222450694,1614.07,16,1,4,8,0.05,1.0,0.005,0.001,
