seed,nnsize,wbrange,rl_nn_b_fit,time_passed,max_flux_amp,init_flux_amp,flux_period_min,flux_period_max,flux_conv_rate,learn_rate,performance_bias,performance_update_rate,
0,3,16,0.4838876389251417,9999.99,8,1,4,8,0.025,1.0,0.005,0.001,
1,3,16,0.01710980280600811,9999.99,8,1,4,8,0.025,1.0,0.005,0.001,
2,3,16,0.4731834981800575,9999.99,8,1,4,8,0.025,1.0,0.005,0.001,
3,3,16,0.8749287422626886,9999.99,8,1,4,8,0.025,1.0,0.005,0.001,
4,3,16,0.020315238607206597,9999.99,8,1,4,8,0.025,1.0,0.005,0.001,
5,3,16,0.0037414140651813705,9999.99,8,1,4,8,0.025,1.0,0.005,0.001,
6,3,16,0.02096450150546787,9999.99,8,1,4,8,0.025,1.0,0.005,0.001,
7,3,16,0.01057890367883716,9999.99,8,1,4,8,0.025,1.0,0.005,0.001,
8,3,16,0.5632109839654508,9999.99,8,1,4,8,0.025,1.0,0.005,0.001,
9,3,16,0.3595651930747044,9999.99,8,1,4,8,0.025,1.0,0.005,0.001,
0,3,16,0.7159487019112908,6789.03,16,1,4,8,0.025,1.0,0.005,0.001,
1,3,16,0.006519383971609426,9999.99,16,1,4,8,0.025,1.0,0.005,0.001,
2,3,16,0.47309432768143733,9999.99,16,1,4,8,0.025,1.0,0.005,0.001,
3,3,16,0.6416146187535137,9999.99,16,1,4,8,0.025,1.0,0.005,0.001,
4,3,16,0.45928901512518616,9999.99,16,1,4,8,0.025,1.0,0.005,0.001,
5,3,16,0.6754409326240423,9999.99,16,1,4,8,0.025,1.0,0.005,0.001,
6,3,16,0.6908498574774822,9823.36,16,1,4,8,0.025,1.0,0.005,0.001,
7,3,16,0.11118968929537984,9999.99,16,1,4,8,0.025,1.0,0.005,0.001,
8,3,16,0.7303326089038396,6466.1900000000005,16,1,4,8,0.025,1.0,0.005,0.001,
9,3,16,0.7044865491571513,8835.45,16,1,4,8,0.025,1.0,0.005,0.001,
0,3,16,0.7159487019112908,6789.03,8,1,4,8,0.05,1.0,0.005,0.001,
1,3,16,0.006519383971609426,9999.99,8,1,4,8,0.05,1.0,0.005,0.001,
2,3,16,0.47309432768143733,9999.99,8,1,4,8,0.05,1.0,0.005,0.001,
3,3,16,0.6416146187535137,9999.99,8,1,4,8,0.05,1.0,0.005,0.001,
4,3,16,0.45928901512518616,9999.99,8,1,4,8,0.05,1.0,0.005,0.001,
