w00,w11,fitness
-16,-16,0.0343
-16,-15.75,0.0343
-16,-15.5,0.0343
-16,-15.25,0.0343
-16,-15,0.0343
-16,-14.75,0.0343
-16,-14.5,0.0343
-16,-14.25,0.0343
-16,-14,0.0343
-16,-13.75,0.0343
-16,-13.5,0.0343
-16,-13.25,0.0343
-16,-13,0.0343
-16,-12.75,0.0343
-16,-12.5,0.0343
-16,-12.25,0.0343
-16,-12,0.0343
-16,-11.75,0.0343
-16,-11.5,0.0343
-16,-11.25,0.0343
-16,-11,0.0343
-16,-10.75,0.0343
-16,-10.5,0.0343
-16,-10.25,0.0343
-16,-10,0.0343
-16,-9.75,0.0343
-16,-9.5,0.0343
-16,-9.25,0.0343
-16,-9,0.0343
-16,-8.75,0.0343
-16,-8.5,0.0343
-16,-8.25,0.0343
-16,-8,0.0343
-16,-7.75,0.0343
-16,-7.5,0.0343
-16,-7.25,0.0343
-16,-7,0.0343
-16,-6.75,0.0343
-16,-6.5,0.0343
-16,-6.25,0.0343
-16,-6,0.0343
-16,-5.75,0.0343
-16,-5.5,0.0343
-16,-5.25,0.0343
-16,-5,0.0343
-16,-4.75,0.0343
-16,-4.5,0.0343
-16,-4.25,0.0343
-16,-4,0.0343
-16,-3.75,0.0343
-16,-3.5,0.0343
-16,-3.25,0.0343
-16,-3,0.0343
-16,-2.75,0.0343
-16,-2.5,0.0343
-16,-2.25,0.0343
-16,-2,0.0343
-16,-1.75,0.0343
-16,-1.5,0.0343
-16,-1.25,0.0343
-16,-1,0.0343
-16,-0.75,0.0343
-16,-0.5,0.0344
-16,-0.25,0.0344
-16,0,0.0344
-16,0.25,0.0344
-16,0.5,0.0344
-16,0.75,0.0344
-16,1,0.0344
-16,1.25,0.0344
-16,1.5,0.0344
-16,1.75,0.0344
-16,2,0.0344
-16,2.25,0.0344
-16,2.5,0.0344
-16,2.75,0.0344
-16,3,0.0344
-16,3.25,0.0344
-16,3.5,0.0344
-16,3.75,0.0344
-16,4,0.0344
-16,4.25,0.0344
-16,4.5,0.0344
-16,4.75,0.0344
-16,5,0.0344
-16,5.25,0.0344
-16,5.5,0.0344
-16,5.75,0.0344
-16,6,0.0344
-16,6.25,0.0344
-16,6.5,0.0344
-16,6.75,0.0344
-16,7,0.0344
-16,7.25,0.0344
-16,7.5,0.0344
-16,7.75,0.0344
-16,8,0.0344
-16,8.25,0.0344
-16,8.5,0.0344
-16,8.75,0.0344
-16,9,0.0344
-16,9.25,0.0344
-16,9.5,0.0344
-16,9.75,0.0344
-16,10,0.0344
-16,10.25,0.0344
-16,10.5,0.0344
-16,10.75,0.0344
-16,11,0.0344
-16,11.25,0.0344
-16,11.5,0.0344
-16,11.75,0.0344
-16,12,0.0344
-16,12.25,0.0344
-16,12.5,0.0345
-16,12.75,0.0345
-16,13,0.0345
-16,13.5,0.0345
-16,13.75,0.0345
-16,14.25,0.0345
-16,14.5,0.0345
-16,14.75,0.0345
-16,15,0.0345
-16,15.25,0.0345
-16,15.5,0.0345
-16,15.75,0.0345
-16,16,0.0345
-15.75,-16,0.0341
-15.75,-15.75,0.0341
-15.75,-15.5,0.0341
-15.75,-15.25,0.0341
-15.75,-15,0.0341
-15.75,-14.75,0.0341
-15.75,-14.5,0.0341
-15.75,-14.25,0.0341
-15.75,-14,0.0341
-15.75,-13.75,0.0342
-15.75,-13.5,0.0342
-15.75,-13.25,0.0342
-15.75,-13,0.0342
-15.75,-12.75,0.0342
-15.75,-12.5,0.0342
